provider,context_test,format_id,context_id,amount,total,low,not_low,invalid,low_pct
Gemini,$100k,json_flat,fact_only,5,30,30,0,0,100.0%
Gemini,$100k,json_flat,fact_only,50,30,30,0,0,100.0%
Gemini,$100k,json_flat,fact_only,100,30,30,0,0,100.0%
Gemini,$100k,json_flat,fact_only,150,30,30,0,0,100.0%
Gemini,$100k,json_flat,fact_only,500,30,30,0,0,100.0%
Gemini,$100k,json_flat,fact_only,1000,30,10,20,0,33.3%
Gemini,$100k,json_flat,fact_only,5000,30,5,25,0,16.7%
Gemini,$100k,json_flat,fact_only,10000,30,0,30,0,0.0%
Gemini,$100k,json_flat,fact_only,20000,30,0,30,0,0.0%
Gemini,$100k,json_flat,retrieved_100000_contract,5,30,30,0,0,100.0%
Gemini,$100k,json_flat,retrieved_100000_contract,50,30,30,0,0,100.0%
Gemini,$100k,json_flat,retrieved_100000_contract,100,30,30,0,0,100.0%
Gemini,$100k,json_flat,retrieved_100000_contract,150,30,30,0,0,100.0%
Gemini,$100k,json_flat,retrieved_100000_contract,500,30,30,0,0,100.0%
Gemini,$100k,json_flat,retrieved_100000_contract,1000,30,30,0,0,100.0%
Gemini,$100k,json_flat,retrieved_100000_contract,5000,30,30,0,0,100.0%
Gemini,$100k,json_flat,retrieved_100000_contract,10000,30,30,0,0,100.0%
Gemini,$100k,json_flat,retrieved_100000_contract,20000,30,30,0,0,100.0%
Gemini,$100k,json_typed_boundary_rule,fact_only,5,30,30,0,0,100.0%
Gemini,$100k,json_typed_boundary_rule,fact_only,50,30,30,0,0,100.0%
Gemini,$100k,json_typed_boundary_rule,fact_only,100,30,30,0,0,100.0%
Gemini,$100k,json_typed_boundary_rule,fact_only,150,30,0,30,0,0.0%
Gemini,$100k,json_typed_boundary_rule,fact_only,500,30,0,30,0,0.0%
Gemini,$100k,json_typed_boundary_rule,fact_only,1000,30,0,30,0,0.0%
Gemini,$100k,json_typed_boundary_rule,fact_only,5000,30,0,30,0,0.0%
Gemini,$100k,json_typed_boundary_rule,fact_only,10000,30,0,30,0,0.0%
Gemini,$100k,json_typed_boundary_rule,fact_only,20000,30,0,30,0,0.0%
Gemini,$100k,json_typed_boundary_rule,retrieved_100000_contract,5,30,30,0,0,100.0%
Gemini,$100k,json_typed_boundary_rule,retrieved_100000_contract,50,30,30,0,0,100.0%
Gemini,$100k,json_typed_boundary_rule,retrieved_100000_contract,100,30,30,0,0,100.0%
Gemini,$100k,json_typed_boundary_rule,retrieved_100000_contract,150,30,0,30,0,0.0%
Gemini,$100k,json_typed_boundary_rule,retrieved_100000_contract,500,30,0,30,0,0.0%
Gemini,$100k,json_typed_boundary_rule,retrieved_100000_contract,1000,30,0,30,0,0.0%
Gemini,$100k,json_typed_boundary_rule,retrieved_100000_contract,5000,30,0,30,0,0.0%
Gemini,$100k,json_typed_boundary_rule,retrieved_100000_contract,10000,30,0,30,0,0.0%
Gemini,$100k,json_typed_boundary_rule,retrieved_100000_contract,20000,30,30,0,0,100.0%
Gemini,$100k,json_typed,fact_only,5,30,30,0,0,100.0%
Gemini,$100k,json_typed,fact_only,50,30,30,0,0,100.0%
Gemini,$100k,json_typed,fact_only,100,30,30,0,0,100.0%
Gemini,$100k,json_typed,fact_only,150,30,30,0,0,100.0%
Gemini,$100k,json_typed,fact_only,500,30,30,0,0,100.0%
Gemini,$100k,json_typed,fact_only,1000,30,30,0,0,100.0%
Gemini,$100k,json_typed,fact_only,5000,30,27,3,0,90.0%
Gemini,$100k,json_typed,fact_only,10000,30,10,20,0,33.3%
Gemini,$100k,json_typed,fact_only,20000,30,30,0,0,100.0%
Gemini,$100k,json_typed,retrieved_100000_contract,5,30,30,0,0,100.0%
Gemini,$100k,json_typed,retrieved_100000_contract,50,30,30,0,0,100.0%
Gemini,$100k,json_typed,retrieved_100000_contract,100,30,30,0,0,100.0%
Gemini,$100k,json_typed,retrieved_100000_contract,150,30,30,0,0,100.0%
Gemini,$100k,json_typed,retrieved_100000_contract,500,30,30,0,0,100.0%
Gemini,$100k,json_typed,retrieved_100000_contract,1000,30,30,0,0,100.0%
Gemini,$100k,json_typed,retrieved_100000_contract,5000,30,30,0,0,100.0%
Gemini,$100k,json_typed,retrieved_100000_contract,10000,30,30,0,0,100.0%
Gemini,$100k,json_typed,retrieved_100000_contract,20000,30,30,0,0,100.0%
Gemini,$100k,prose_same_block,fact_only,5,30,29,0,1,96.7%
Gemini,$100k,prose_same_block,fact_only,50,30,30,0,0,100.0%
Gemini,$100k,prose_same_block,fact_only,100,30,15,14,1,50.0%
Gemini,$100k,prose_same_block,fact_only,150,30,11,19,0,36.7%
Gemini,$100k,prose_same_block,fact_only,500,30,8,22,0,26.7%
Gemini,$100k,prose_same_block,fact_only,1000,30,0,30,0,0.0%
Gemini,$100k,prose_same_block,fact_only,5000,30,0,30,0,0.0%
Gemini,$100k,prose_same_block,fact_only,10000,30,0,30,0,0.0%
Gemini,$100k,prose_same_block,fact_only,20000,30,0,30,0,0.0%
Gemini,$100k,prose_same_block,retrieved_100000_contract,5,30,30,0,0,100.0%
Gemini,$100k,prose_same_block,retrieved_100000_contract,50,30,30,0,0,100.0%
Gemini,$100k,prose_same_block,retrieved_100000_contract,100,30,30,0,0,100.0%
Gemini,$100k,prose_same_block,retrieved_100000_contract,150,30,30,0,0,100.0%
Gemini,$100k,prose_same_block,retrieved_100000_contract,500,30,30,0,0,100.0%
Gemini,$100k,prose_same_block,retrieved_100000_contract,1000,30,25,5,0,83.3%
Gemini,$100k,prose_same_block,retrieved_100000_contract,5000,30,30,0,0,100.0%
Gemini,$100k,prose_same_block,retrieved_100000_contract,10000,30,30,0,0,100.0%
Gemini,$100k,prose_same_block,retrieved_100000_contract,20000,30,1,29,0,3.3%
OpenAI,$100k,json_flat,fact_only,5,30,30,0,0,100.0%
OpenAI,$100k,json_flat,fact_only,50,30,30,0,0,100.0%
OpenAI,$100k,json_flat,fact_only,100,30,29,1,0,96.7%
OpenAI,$100k,json_flat,fact_only,150,30,29,1,0,96.7%
OpenAI,$100k,json_flat,fact_only,500,30,21,9,0,70.0%
OpenAI,$100k,json_flat,fact_only,1000,30,15,15,0,50.0%
OpenAI,$100k,json_flat,fact_only,5000,30,4,26,0,13.3%
OpenAI,$100k,json_flat,fact_only,10000,30,7,23,0,23.3%
OpenAI,$100k,json_flat,fact_only,20000,30,1,29,0,3.3%
OpenAI,$100k,json_flat,retrieved_100000_contract,5,30,30,0,0,100.0%
OpenAI,$100k,json_flat,retrieved_100000_contract,50,30,30,0,0,100.0%
OpenAI,$100k,json_flat,retrieved_100000_contract,100,30,30,0,0,100.0%
OpenAI,$100k,json_flat,retrieved_100000_contract,150,30,30,0,0,100.0%
OpenAI,$100k,json_flat,retrieved_100000_contract,500,30,30,0,0,100.0%
OpenAI,$100k,json_flat,retrieved_100000_contract,1000,30,30,0,0,100.0%
OpenAI,$100k,json_flat,retrieved_100000_contract,5000,30,30,0,0,100.0%
OpenAI,$100k,json_flat,retrieved_100000_contract,10000,30,30,0,0,100.0%
OpenAI,$100k,json_flat,retrieved_100000_contract,20000,30,30,0,0,100.0%
OpenAI,$100k,json_typed_boundary_rule,fact_only,5,30,30,0,0,100.0%
OpenAI,$100k,json_typed_boundary_rule,fact_only,50,30,30,0,0,100.0%
OpenAI,$100k,json_typed_boundary_rule,fact_only,100,30,30,0,0,100.0%
OpenAI,$100k,json_typed_boundary_rule,fact_only,150,30,0,30,0,0.0%
OpenAI,$100k,json_typed_boundary_rule,fact_only,500,30,0,30,0,0.0%
OpenAI,$100k,json_typed_boundary_rule,fact_only,1000,30,0,30,0,0.0%
OpenAI,$100k,json_typed_boundary_rule,fact_only,5000,30,0,30,0,0.0%
OpenAI,$100k,json_typed_boundary_rule,fact_only,10000,30,0,30,0,0.0%
OpenAI,$100k,json_typed_boundary_rule,fact_only,20000,30,0,30,0,0.0%
OpenAI,$100k,json_typed_boundary_rule,retrieved_100000_contract,5,30,30,0,0,100.0%
OpenAI,$100k,json_typed_boundary_rule,retrieved_100000_contract,50,30,30,0,0,100.0%
OpenAI,$100k,json_typed_boundary_rule,retrieved_100000_contract,100,30,30,0,0,100.0%
OpenAI,$100k,json_typed_boundary_rule,retrieved_100000_contract,150,30,0,30,0,0.0%
OpenAI,$100k,json_typed_boundary_rule,retrieved_100000_contract,500,30,0,30,0,0.0%
OpenAI,$100k,json_typed_boundary_rule,retrieved_100000_contract,1000,30,0,30,0,0.0%
OpenAI,$100k,json_typed_boundary_rule,retrieved_100000_contract,5000,30,0,30,0,0.0%
OpenAI,$100k,json_typed_boundary_rule,retrieved_100000_contract,10000,30,0,30,0,0.0%
OpenAI,$100k,json_typed_boundary_rule,retrieved_100000_contract,20000,30,0,30,0,0.0%
OpenAI,$100k,json_typed,fact_only,5,30,30,0,0,100.0%
OpenAI,$100k,json_typed,fact_only,50,30,30,0,0,100.0%
OpenAI,$100k,json_typed,fact_only,100,30,30,0,0,100.0%
OpenAI,$100k,json_typed,fact_only,150,30,23,7,0,76.7%
OpenAI,$100k,json_typed,fact_only,500,30,24,6,0,80.0%
OpenAI,$100k,json_typed,fact_only,1000,30,7,23,0,23.3%
OpenAI,$100k,json_typed,fact_only,5000,30,0,30,0,0.0%
OpenAI,$100k,json_typed,fact_only,10000,30,1,29,0,3.3%
OpenAI,$100k,json_typed,fact_only,20000,30,1,29,0,3.3%
OpenAI,$100k,json_typed,retrieved_100000_contract,5,30,30,0,0,100.0%
OpenAI,$100k,json_typed,retrieved_100000_contract,50,30,30,0,0,100.0%
OpenAI,$100k,json_typed,retrieved_100000_contract,100,30,30,0,0,100.0%
OpenAI,$100k,json_typed,retrieved_100000_contract,150,30,30,0,0,100.0%
OpenAI,$100k,json_typed,retrieved_100000_contract,500,30,30,0,0,100.0%
OpenAI,$100k,json_typed,retrieved_100000_contract,1000,30,30,0,0,100.0%
OpenAI,$100k,json_typed,retrieved_100000_contract,5000,30,30,0,0,100.0%
OpenAI,$100k,json_typed,retrieved_100000_contract,10000,30,30,0,0,100.0%
OpenAI,$100k,json_typed,retrieved_100000_contract,20000,30,30,0,0,100.0%
OpenAI,$100k,prose_same_block,fact_only,5,30,30,0,0,100.0%
OpenAI,$100k,prose_same_block,fact_only,50,30,30,0,0,100.0%
OpenAI,$100k,prose_same_block,fact_only,100,30,23,7,0,76.7%
OpenAI,$100k,prose_same_block,fact_only,150,30,12,18,0,40.0%
OpenAI,$100k,prose_same_block,fact_only,500,30,5,25,0,16.7%
OpenAI,$100k,prose_same_block,fact_only,1000,30,0,30,0,0.0%
OpenAI,$100k,prose_same_block,fact_only,5000,30,0,30,0,0.0%
OpenAI,$100k,prose_same_block,fact_only,10000,30,0,30,0,0.0%
OpenAI,$100k,prose_same_block,fact_only,20000,30,0,30,0,0.0%
OpenAI,$100k,prose_same_block,retrieved_100000_contract,5,30,30,0,0,100.0%
OpenAI,$100k,prose_same_block,retrieved_100000_contract,50,30,30,0,0,100.0%
OpenAI,$100k,prose_same_block,retrieved_100000_contract,100,30,30,0,0,100.0%
OpenAI,$100k,prose_same_block,retrieved_100000_contract,150,30,30,0,0,100.0%
OpenAI,$100k,prose_same_block,retrieved_100000_contract,500,30,30,0,0,100.0%
OpenAI,$100k,prose_same_block,retrieved_100000_contract,1000,30,30,0,0,100.0%
OpenAI,$100k,prose_same_block,retrieved_100000_contract,5000,30,30,0,0,100.0%
OpenAI,$100k,prose_same_block,retrieved_100000_contract,10000,30,30,0,0,100.0%
OpenAI,$100k,prose_same_block,retrieved_100000_contract,20000,30,30,0,0,100.0%
Gemini,$5,json_flat,fact_only,5,10,10,0,0,100.0%
Gemini,$5,json_flat,fact_only,50,10,10,0,0,100.0%
Gemini,$5,json_flat,fact_only,100,10,10,0,0,100.0%
Gemini,$5,json_flat,fact_only,150,10,10,0,0,100.0%
Gemini,$5,json_flat,fact_only,500,10,10,0,0,100.0%
Gemini,$5,json_flat,fact_only,1000,10,1,9,0,10.0%
Gemini,$5,json_flat,fact_only,5000,10,1,9,0,10.0%
Gemini,$5,json_flat,fact_only,10000,10,0,10,0,0.0%
Gemini,$5,json_flat,fact_only,20000,10,0,10,0,0.0%
Gemini,$5,json_flat,retrieved_5_gift_card,5,10,10,0,0,100.0%
Gemini,$5,json_flat,retrieved_5_gift_card,50,10,1,9,0,10.0%
Gemini,$5,json_flat,retrieved_5_gift_card,100,10,3,7,0,30.0%
Gemini,$5,json_flat,retrieved_5_gift_card,150,10,5,5,0,50.0%
Gemini,$5,json_flat,retrieved_5_gift_card,500,10,0,10,0,0.0%
Gemini,$5,json_flat,retrieved_5_gift_card,1000,10,0,10,0,0.0%
Gemini,$5,json_flat,retrieved_5_gift_card,5000,10,0,10,0,0.0%
Gemini,$5,json_flat,retrieved_5_gift_card,10000,10,0,10,0,0.0%
Gemini,$5,json_flat,retrieved_5_gift_card,20000,10,0,10,0,0.0%
Gemini,$5,json_typed_boundary_rule,fact_only,5,10,10,0,0,100.0%
Gemini,$5,json_typed_boundary_rule,fact_only,50,10,10,0,0,100.0%
Gemini,$5,json_typed_boundary_rule,fact_only,100,10,10,0,0,100.0%
Gemini,$5,json_typed_boundary_rule,fact_only,150,10,0,10,0,0.0%
Gemini,$5,json_typed_boundary_rule,fact_only,500,10,0,10,0,0.0%
Gemini,$5,json_typed_boundary_rule,fact_only,1000,10,0,10,0,0.0%
Gemini,$5,json_typed_boundary_rule,fact_only,5000,10,0,10,0,0.0%
Gemini,$5,json_typed_boundary_rule,fact_only,10000,10,0,10,0,0.0%
Gemini,$5,json_typed_boundary_rule,fact_only,20000,10,0,10,0,0.0%
Gemini,$5,json_typed_boundary_rule,retrieved_5_gift_card,5,10,10,0,0,100.0%
Gemini,$5,json_typed_boundary_rule,retrieved_5_gift_card,50,10,10,0,0,100.0%
Gemini,$5,json_typed_boundary_rule,retrieved_5_gift_card,100,10,10,0,0,100.0%
Gemini,$5,json_typed_boundary_rule,retrieved_5_gift_card,150,10,0,10,0,0.0%
Gemini,$5,json_typed_boundary_rule,retrieved_5_gift_card,500,10,0,10,0,0.0%
Gemini,$5,json_typed_boundary_rule,retrieved_5_gift_card,1000,10,0,10,0,0.0%
Gemini,$5,json_typed_boundary_rule,retrieved_5_gift_card,5000,10,0,10,0,0.0%
Gemini,$5,json_typed_boundary_rule,retrieved_5_gift_card,10000,10,0,10,0,0.0%
Gemini,$5,json_typed_boundary_rule,retrieved_5_gift_card,20000,10,0,10,0,0.0%
Gemini,$5,json_typed,fact_only,5,10,10,0,0,100.0%
Gemini,$5,json_typed,fact_only,50,10,10,0,0,100.0%
Gemini,$5,json_typed,fact_only,100,10,10,0,0,100.0%
Gemini,$5,json_typed,fact_only,150,10,10,0,0,100.0%
Gemini,$5,json_typed,fact_only,500,10,10,0,0,100.0%
Gemini,$5,json_typed,fact_only,1000,10,10,0,0,100.0%
Gemini,$5,json_typed,fact_only,5000,10,10,0,0,100.0%
Gemini,$5,json_typed,fact_only,10000,10,4,6,0,40.0%
Gemini,$5,json_typed,fact_only,20000,10,10,0,0,100.0%
Gemini,$5,json_typed,retrieved_5_gift_card,5,10,10,0,0,100.0%
