model,response_models,format_id,context_id,amount,total,low,not_low,invalid,low_pct,not_low_pct,errors
sonnet,claude-haiku-4-5,json_flat,fact_only,50,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,json_flat,fact_only,100,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,json_flat,fact_only,150,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_flat,fact_only,500,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_flat,fact_only,1000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_flat,fact_only,5000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_flat,fact_only,10000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_flat,fact_only,20000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_flat,retrieved_100000_contract,50,1,1,0,0,100.0%,0.0%,0
sonnet,claude-sonnet-5,json_flat,retrieved_100000_contract,100,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,json_flat,retrieved_100000_contract,150,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,json_flat,retrieved_100000_contract,500,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,json_flat,retrieved_100000_contract,1000,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,json_flat,retrieved_100000_contract,5000,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,json_flat,retrieved_100000_contract,10000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_flat,retrieved_100000_contract,20000,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,json_typed_boundary_rule,fact_only,50,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,json_typed_boundary_rule,fact_only,100,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,json_typed_boundary_rule,fact_only,150,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_typed_boundary_rule,fact_only,500,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_typed_boundary_rule,fact_only,1000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_typed_boundary_rule,fact_only,5000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_typed_boundary_rule,fact_only,10000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_typed_boundary_rule,fact_only,20000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_typed_boundary_rule,retrieved_100000_contract,50,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,json_typed_boundary_rule,retrieved_100000_contract,100,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,json_typed_boundary_rule,retrieved_100000_contract,150,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_typed_boundary_rule,retrieved_100000_contract,500,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_typed_boundary_rule,retrieved_100000_contract,1000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_typed_boundary_rule,retrieved_100000_contract,5000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_typed_boundary_rule,retrieved_100000_contract,10000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_typed_boundary_rule,retrieved_100000_contract,20000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_typed,fact_only,50,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,json_typed,fact_only,100,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,json_typed,fact_only,150,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_typed,fact_only,500,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_typed,fact_only,1000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_typed,fact_only,5000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_typed,fact_only,10000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_typed,fact_only,20000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,json_typed,retrieved_100000_contract,50,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,json_typed,retrieved_100000_contract,100,1,1,0,0,100.0%,0.0%,0
sonnet,claude-sonnet-5,json_typed,retrieved_100000_contract,150,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,json_typed,retrieved_100000_contract,500,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,json_typed,retrieved_100000_contract,1000,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,json_typed,retrieved_100000_contract,5000,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,json_typed,retrieved_100000_contract,10000,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,json_typed,retrieved_100000_contract,20000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,prose_same_block,fact_only,50,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,prose_same_block,fact_only,100,1,1,0,0,100.0%,0.0%,0
sonnet,claude-sonnet-5,prose_same_block,fact_only,150,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,prose_same_block,fact_only,500,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,prose_same_block,fact_only,1000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-sonnet-5,prose_same_block,fact_only,5000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,prose_same_block,fact_only,10000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,prose_same_block,fact_only,20000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,prose_same_block,retrieved_100000_contract,50,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,prose_same_block,retrieved_100000_contract,100,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,prose_same_block,retrieved_100000_contract,150,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,prose_same_block,retrieved_100000_contract,500,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,prose_same_block,retrieved_100000_contract,1000,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,prose_same_block,retrieved_100000_contract,5000,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,prose_same_block,retrieved_100000_contract,10000,1,1,0,0,100.0%,0.0%,0
sonnet,claude-sonnet-5,prose_same_block,retrieved_100000_contract,20000,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,prose_separated,fact_only,50,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,prose_separated,fact_only,100,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,prose_separated,fact_only,150,1,1,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,prose_separated,fact_only,500,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,prose_separated,fact_only,1000,1,0,1,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,prose_separated,fact_only,5000,1,0,1,0,0.0%,100.0%,0
