model,response_models,format_id,context_id,amount,total,low,not_low,invalid,low_pct,not_low_pct,errors
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,fact_only,5,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,fact_only,50,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,fact_only,100,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,fact_only,150,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,fact_only,500,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,fact_only,1000,30,10,20,0,33.3%,66.7%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,fact_only,5000,30,5,25,0,16.7%,83.3%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,fact_only,10000,30,0,30,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,fact_only,20000,30,0,30,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,5,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,50,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,100,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,150,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,500,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,1000,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,5000,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,10000,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,20000,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_typed_boundary_rule,fact_only,5,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_typed_boundary_rule,fact_only,50,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_typed_boundary_rule,fact_only,100,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_typed_boundary_rule,fact_only,150,30,0,30,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_typed_boundary_rule,fact_only,500,30,0,30,0,0.0%,100.0%,0
