model,response_models,format_id,context_id,amount,total,low,not_low,invalid,low_pct,not_low_pct,errors
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,json_flat,fact_only,5,30,30,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,json_flat,fact_only,50,30,30,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,json_flat,fact_only,100,30,29,1,0,96.7%,3.3%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,json_flat,fact_only,150,30,29,1,0,96.7%,3.3%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,json_flat,fact_only,500,30,21,9,0,70.0%,30.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,json_flat,fact_only,1000,30,15,15,0,50.0%,50.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,json_flat,fact_only,5000,30,4,26,0,13.3%,86.7%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,json_flat,fact_only,10000,30,7,23,0,23.3%,76.7%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,json_flat,fact_only,20000,30,1,29,0,3.3%,96.7%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,json_flat,retrieved_100000_contract,5,30,30,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,json_flat,retrieved_100000_contract,50,30,30,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,json_flat,retrieved_100000_contract,100,30,30,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,json_flat,retrieved_100000_contract,150,30,30,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,json_flat,retrieved_100000_contract,500,30,30,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,json_flat,retrieved_100000_contract,1000,30,30,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,json_flat,retrieved_100000_contract,5000,30,30,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,json_flat,retrieved_100000_contract,10000,30,30,0,0,100.0%,0.0%,0
