model,response_models,format_id,context_id,amount,total,low,not_low,invalid,low_pct,not_low_pct,errors
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,100,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,150,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,500,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,1000,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,5000,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,10000,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,12000,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,15000,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,18000,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,20000,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,25000,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,50000,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_flat,retrieved_100000_contract,100000,30,0,30,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_typed_boundary_rule,retrieved_100000_contract,100,30,30,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_typed_boundary_rule,retrieved_100000_contract,150,30,0,30,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_typed_boundary_rule,retrieved_100000_contract,500,30,0,30,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_typed_boundary_rule,retrieved_100000_contract,1000,30,0,30,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_typed_boundary_rule,retrieved_100000_contract,5000,30,0,30,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_typed_boundary_rule,retrieved_100000_contract,10000,30,0,30,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,json_typed_boundary_rule,retrieved_100000_contract,12000,30,0,30,0,0.0%,100.0%,0
