model,response_models,format_id,context_id,amount,total,low,not_low,invalid,low_pct,not_low_pct,errors
gpt-5.6,gpt-5.6-sol,prose_same_block,fact_only,0,100,100,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,prose_same_block,fact_only,5,100,100,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,prose_same_block,fact_only,25,100,100,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,prose_same_block,fact_only,49,100,100,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,prose_same_block,fact_only,50,100,100,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,prose_same_block,fact_only,51,100,3,97,0,3.0%,97.0%,0
gpt-5.6,gpt-5.6-sol,prose_same_block,fact_only,75,100,100,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,prose_same_block,fact_only,100,100,99,1,0,99.0%,1.0%,0
gpt-5.6,gpt-5.6-sol,prose_same_block,fact_only,101,100,0,100,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,prose_same_block,fact_only,150,100,80,20,0,80.0%,20.0%,0
gpt-5.6,gpt-5.6-sol,prose_same_block,fact_only,250,100,91,9,0,91.0%,9.0%,0
gpt-5.6,gpt-5.6-sol,prose_same_block,fact_only,500,100,40,60,0,40.0%,60.0%,0
gpt-5.6,gpt-5.6-sol,prose_same_block,fact_only,1000,100,14,86,0,14.0%,86.0%,0
