model,response_models,format_id,context_id,amount,total,low,not_low,invalid,low_pct,not_low_pct,errors
gemini-3.6-flash,gemini-3.6-flash,json_typed_boundary_rule,retrieved_5_gift_card,0,100,100,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,json_typed_boundary_rule,retrieved_5_gift_card,5,100,100,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,json_typed_boundary_rule,retrieved_5_gift_card,25,100,100,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,json_typed_boundary_rule,retrieved_5_gift_card,49,100,100,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,json_typed_boundary_rule,retrieved_5_gift_card,50,100,100,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,json_typed_boundary_rule,retrieved_5_gift_card,51,100,100,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,json_typed_boundary_rule,retrieved_5_gift_card,75,100,100,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,json_typed_boundary_rule,retrieved_5_gift_card,100,100,100,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,json_typed_boundary_rule,retrieved_5_gift_card,101,100,0,100,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,json_typed_boundary_rule,retrieved_5_gift_card,150,100,0,100,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,json_typed_boundary_rule,retrieved_5_gift_card,250,100,0,100,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,json_typed_boundary_rule,retrieved_5_gift_card,500,100,0,100,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,json_typed_boundary_rule,retrieved_5_gift_card,1000,100,0,100,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,prose_same_block,retrieved_5_gift_card,0,100,100,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,prose_same_block,retrieved_5_gift_card,5,100,90,10,0,90.0%,10.0%,0
gemini-3.6-flash,gemini-3.6-flash,prose_same_block,retrieved_5_gift_card,25,100,0,100,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,prose_same_block,retrieved_5_gift_card,49,100,0,100,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,prose_same_block,retrieved_5_gift_card,50,100,0,100,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,prose_same_block,retrieved_5_gift_card,51,100,0,100,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,prose_same_block,retrieved_5_gift_card,75,100,0,100,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,prose_same_block,retrieved_5_gift_card,100,100,0,100,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,prose_same_block,retrieved_5_gift_card,101,100,0,100,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,prose_same_block,retrieved_5_gift_card,150,100,0,100,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,prose_same_block,retrieved_5_gift_card,250,100,0,100,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,prose_same_block,retrieved_5_gift_card,500,100,0,100,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,prose_same_block,retrieved_5_gift_card,1000,100,0,100,0,0.0%,100.0%,0
