model,response_models,context_id,amount,total,low,not_low,invalid,output_truncated,low_pct,not_low_pct,errors
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,0,10,9,0,1,0,90.0%,0.0%,1
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,156.25,30,16,14,0,0,53.3%,46.7%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,175.78,30,1,29,0,0,3.3%,96.7%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,195.31,10,4,6,0,0,40.0%,60.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,234.38,10,1,9,0,0,10.0%,90.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,312.5,10,3,7,0,0,30.0%,70.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,625,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,1250,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,2500,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,5000,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,10000,10,0,9,1,0,0.0%,90.0%,1
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,20000,10,0,9,1,0,0.0%,90.0%,1
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,retrieved_5_gift_card,0,30,30,0,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,retrieved_5_gift_card,19.53,30,4,26,0,0,13.3%,86.7%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,retrieved_5_gift_card,39.06,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,retrieved_5_gift_card,78.13,10,1,9,0,0,10.0%,90.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,retrieved_5_gift_card,156.25,10,1,9,0,0,10.0%,90.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,retrieved_5_gift_card,312.5,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,retrieved_5_gift_card,625,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,retrieved_5_gift_card,1250,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,retrieved_5_gift_card,2500,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,retrieved_5_gift_card,5000,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,retrieved_5_gift_card,10000,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,retrieved_5_gift_card,20000,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,retrieved_100000_contract,0,30,30,0,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,retrieved_100000_contract,20000,30,30,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,0,10,10,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,156.25,30,21,9,0,0,70.0%,30.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,175.78,30,8,22,0,0,26.7%,73.3%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,195.31,10,2,8,0,0,20.0%,80.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,234.38,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,312.5,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,625,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,1250,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,2500,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,5000,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,10000,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,20000,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,retrieved_5_gift_card,0,30,30,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,retrieved_5_gift_card,19.53,30,15,15,0,0,50.0%,50.0%,0
gpt-4.1,gpt-4.1-2025-04-14,retrieved_5_gift_card,39.06,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,retrieved_5_gift_card,78.13,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,retrieved_5_gift_card,156.25,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,retrieved_5_gift_card,312.5,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,retrieved_5_gift_card,625,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,retrieved_5_gift_card,1250,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,retrieved_5_gift_card,2500,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,retrieved_5_gift_card,5000,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,retrieved_5_gift_card,10000,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,retrieved_5_gift_card,20000,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,retrieved_100000_contract,0,30,30,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,retrieved_100000_contract,20000,30,30,0,0,0,100.0%,0.0%,0
