model,response_models,context_id,amount,total,low,not_low,invalid,output_truncated,low_pct,not_low_pct,errors
gpt-5.5,gpt-5.5-2026-04-23,fact_only,0,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,625,10,7,3,0,0,70.0%,30.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,937.5,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,976.57,10,8,2,0,0,80.0%,20.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,996.1,30,28,2,0,0,93.3%,6.7%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,1015.63,30,0,30,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,1093.75,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,1250,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,2500,10,4,6,0,0,40.0%,60.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,5000,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,10000,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,20000,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_5_gift_card,0,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_5_gift_card,312.5,10,6,4,0,0,60.0%,40.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_5_gift_card,468.75,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_5_gift_card,488.28,30,30,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_5_gift_card,507.81,30,0,30,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_5_gift_card,546.88,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_5_gift_card,625,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_5_gift_card,1250,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_5_gift_card,2500,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_5_gift_card,5000,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_5_gift_card,10000,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_5_gift_card,20000,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_100000_contract,0,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_100000_contract,10000,10,6,4,0,0,60.0%,40.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_100000_contract,15000,10,5,5,0,0,50.0%,50.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_100000_contract,17500,10,5,5,0,0,50.0%,50.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_100000_contract,18750,10,9,1,0,0,90.0%,10.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_100000_contract,19375,10,9,1,0,0,90.0%,10.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_100000_contract,19687.5,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_100000_contract,19843.75,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_100000_contract,19921.88,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_100000_contract,19960.94,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_100000_contract,19980.47,30,30,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,retrieved_100000_contract,20000,30,14,16,0,0,46.7%,53.3%,0
gpt-5.6,gpt-5.6-sol,fact_only,0,10,10,0,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,78.13,10,10,0,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,97.66,30,30,0,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,117.19,30,4,26,0,0,13.3%,86.7%,0
gpt-5.6,gpt-5.6-sol,fact_only,156.25,10,1,9,0,0,10.0%,90.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,312.5,10,2,8,0,0,20.0%,80.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,625,10,1,9,0,0,10.0%,90.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,1250,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,2500,10,2,8,0,0,20.0%,80.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,5000,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,10000,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,fact_only,20000,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,0,10,10,0,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,39.06,30,21,9,0,0,70.0%,30.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,58.59,30,5,25,0,0,16.7%,83.3%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,78.13,10,2,8,0,0,20.0%,80.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,156.25,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,312.5,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,625,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,1250,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,2500,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,5000,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,10000,10,0,10,0,0,0.0%,100.0%,0
