context,model,provider,band_low,band_high,width,midpoint,lower_low_pct,upper_low_pct,unbracketed,run,calls,commit
fact_only,gpt-4.1,openai,156.25,175.78,19.53,166.02,70.0%,26.7%,false,2026-07-28T00-02-02-696Z-publication-clean-openai-low,760,d6a77c06ec2217c3b09764a60c08d220cc59a381
fact_only,gpt-4.1-mini,openai,156.25,175.78,19.53,166.02,53.3%,3.3%,false,2026-07-28T00-02-02-696Z-publication-clean-openai-low,760,d6a77c06ec2217c3b09764a60c08d220cc59a381
fact_only,gemini-3.5-flash-lite,gemini,78.13,97.66,19.53,87.9,80.0%,23.3%,false,2026-07-28T00-13-22-919Z-publication-clean-gemini-low,860,d6a77c06ec2217c3b09764a60c08d220cc59a381
fact_only,gemini-3.6-flash,gemini,39.06,58.59,19.53,48.83,90.0%,30.0%,false,2026-07-28T00-13-22-919Z-publication-clean-gemini-low,860,d6a77c06ec2217c3b09764a60c08d220cc59a381
fact_only,gpt-5.5,openai,996.1,1015.63,19.53,1005.87,93.3%,0.0%,false,2026-07-29T18-47-12-806Z-publication-clean-openai-gpt55-gpt56-max1024-low,860,7ca53d045534dfe5b05e7e3de2b2209c2ed50b41
fact_only,gpt-5.6,openai,97.66,117.19,19.53,107.43,100.0%,13.3%,false,2026-07-29T18-47-12-806Z-publication-clean-openai-gpt55-gpt56-max1024-low,860,7ca53d045534dfe5b05e7e3de2b2209c2ed50b41
retrieved_5_gift_card,gpt-4.1,openai,0,19.53,19.53,9.77,100.0%,50.0%,false,2026-07-28T00-02-02-696Z-publication-clean-openai-low,760,d6a77c06ec2217c3b09764a60c08d220cc59a381
retrieved_5_gift_card,gpt-4.1-mini,openai,0,19.53,19.53,9.77,100.0%,13.3%,false,2026-07-28T00-02-02-696Z-publication-clean-openai-low,760,d6a77c06ec2217c3b09764a60c08d220cc59a381
retrieved_5_gift_card,gemini-3.5-flash-lite,gemini,39.06,58.59,19.53,48.83,63.3%,0.0%,false,2026-07-28T00-13-22-919Z-publication-clean-gemini-low,860,d6a77c06ec2217c3b09764a60c08d220cc59a381
retrieved_5_gift_card,gemini-3.6-flash,gemini,0,19.53,19.53,9.77,100.0%,0.0%,false,2026-07-28T00-13-22-919Z-publication-clean-gemini-low,860,d6a77c06ec2217c3b09764a60c08d220cc59a381
retrieved_5_gift_card,gpt-5.5,openai,488.28,507.81,19.53,498.04,100.0%,0.0%,false,2026-07-29T18-47-12-806Z-publication-clean-openai-gpt55-gpt56-max1024-low,860,7ca53d045534dfe5b05e7e3de2b2209c2ed50b41
retrieved_5_gift_card,gpt-5.6,openai,39.06,58.59,19.53,48.83,70.0%,16.7%,false,2026-07-29T18-47-12-806Z-publication-clean-openai-gpt55-gpt56-max1024-low,860,7ca53d045534dfe5b05e7e3de2b2209c2ed50b41
retrieved_100000_contract,gpt-4.1,openai,0,20000,20000,,100.0%,100.0%,true,2026-07-28T00-02-02-696Z-publication-clean-openai-low,760,d6a77c06ec2217c3b09764a60c08d220cc59a381
retrieved_100000_contract,gpt-4.1-mini,openai,0,20000,20000,,100.0%,100.0%,true,2026-07-28T00-02-02-696Z-publication-clean-openai-low,760,d6a77c06ec2217c3b09764a60c08d220cc59a381
retrieved_100000_contract,gemini-3.5-flash-lite,gemini,10585.94,10605.47,19.53,10595.71,83.3%,33.3%,false,2026-07-28T00-13-22-919Z-publication-clean-gemini-low,860,d6a77c06ec2217c3b09764a60c08d220cc59a381
retrieved_100000_contract,gemini-3.6-flash,gemini,0,20000,20000,,100.0%,73.3%,true,2026-07-28T00-13-22-919Z-publication-clean-gemini-low,860,d6a77c06ec2217c3b09764a60c08d220cc59a381
retrieved_100000_contract,gpt-5.5,openai,19980.47,20000,19.53,19990.24,100.0%,46.7%,false,2026-07-29T18-47-12-806Z-publication-clean-openai-gpt55-gpt56-max1024-low,860,7ca53d045534dfe5b05e7e3de2b2209c2ed50b41
retrieved_100000_contract,gpt-5.6,openai,0,20000,20000,,100.0%,66.7%,true,2026-07-29T18-47-12-806Z-publication-clean-openai-gpt55-gpt56-max1024-low,860,7ca53d045534dfe5b05e7e3de2b2209c2ed50b41
