model,response_models,context_id,amount,total,low,not_low,invalid,low_pct,not_low_pct,errors
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,0,10,10,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,10,10,10,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,25,10,10,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,50,10,10,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,75,10,10,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,100,10,10,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,125,10,8,2,0,80.0%,20.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,137.5,10,10,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,138.28,10,0,10,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,139.06,10,0,10,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,140.63,10,0,10,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,143.75,10,3,7,0,30.0%,70.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,150,10,0,10,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,200,10,10,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,300,10,0,10,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,500,10,0,10,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,750,10,0,10,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,1000,10,0,10,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,1500,10,0,10,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,2500,10,0,10,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,5000,10,0,10,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,10000,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,0,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,10,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,25,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,50,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,75,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,100,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,150,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,200,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,300,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,500,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,625,10,1,1,8,10.0%,10.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,687.5,10,0,0,10,0.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,691.41,10,0,2,8,0.0%,20.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,695.32,10,0,1,9,0.0%,10.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,703.13,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,718.75,10,0,9,1,0.0%,90.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,750,10,0,7,3,0.0%,70.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,1000,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,1500,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,2500,10,0,8,2,0.0%,80.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,5000,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,10000,10,0,10,0,0.0%,100.0%,0
