model,response_models,mode,candidate_value,average_score,passing_count,total,enough,not_enough,invalid,enough_pct,not_enough_pct,errors
gpt-4.1,gpt-4.1-2025-04-14,average,0,0,0,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,2,2,0,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,4,4,0,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,5,5,0,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,5.5,5.5,0,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,5.25,5.25,0,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,5.313,5.31,0,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,5.375,5.38,0,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,6,6,0,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,7,7,10,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,8,8,10,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,9,9,10,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,10,10,10,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,0,3,0,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,1,3.5,1,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,2,4,2,10,0,10,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,3,4.5,3,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,4,5,4,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,5,5.5,5,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,6,6,6,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,7,6.5,7,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,8,7,8,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,9,7.5,9,10,10,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,10,8,10,10,10,0,0,100.0%,0.0%,0
