model,response_models,context_id,amount,total,low,not_low,invalid,low_pct,not_low_pct,errors
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,0,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,10,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,25,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,50,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,75,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,100,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,150,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,200,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,300,10,9,1,0,90.0%,10.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,500,10,10,0,0,100.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,625,10,1,1,8,10.0%,10.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,687.5,10,0,0,10,0.0%,0.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,688.48,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,689.45,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,691.41,10,0,2,8,0.0%,20.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,695.32,10,0,1,9,0.0%,10.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,703.13,10,0,10,0,0.0%,100.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,718.75,10,0,9,1,0.0%,90.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,750,10,0,9,1,0.0%,90.0%,0
gpt-4.1-nano,gpt-4.1-nano-2025-04-14,fact_only,1000,10,10,0,0,100.0%,0.0%,0
