model,response_models,context_id,amount,total,low,not_low,invalid,low_pct,not_low_pct,errors
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,0,10,10,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,10,10,5,3,2,50.0%,30.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,10.94,10,5,5,0,50.0%,50.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,11.88,10,4,6,0,40.0%,60.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,13.75,10,1,6,3,10.0%,60.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,17.5,10,3,6,1,30.0%,60.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,25,10,3,5,2,30.0%,50.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,50,10,1,7,2,10.0%,70.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,75,10,0,8,2,0.0%,80.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,100,10,0,10,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,150,10,1,9,0,10.0%,90.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,200,10,0,10,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,300,10,0,10,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,500,10,0,10,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,750,10,0,10,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,1000,10,0,10,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,1500,10,0,10,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,2500,10,0,10,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,5000,10,0,10,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,retrieved_5_gift_card,10000,10,0,10,0,0.0%,100.0%,0
