model,response_models,context_id,amount,total,low,not_low,invalid,output_truncated,low_pct,not_low_pct,errors
gpt-4.1,gpt-4.1-2025-04-14,fact_only,0,10,10,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,10,10,10,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,25,10,10,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,50,10,10,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,75,10,10,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,100,10,10,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,150,10,10,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,200,10,9,1,0,0,90.0%,10.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,300,10,5,5,0,0,50.0%,50.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,300.78,10,4,6,0,0,40.0%,60.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,301.56,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,303.13,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,306.25,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,312.5,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,325,10,2,8,0,0,20.0%,80.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,350,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,400,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,500,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,750,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,1000,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,1500,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,2500,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,5000,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,10000,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,0,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,10,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,25,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,fact_only,50,10,10,0,0,0,100.0%,0.0%,0
