model,response_models,mode,candidate_value,average_score,passing_count,total,enough,not_enough,invalid,output_truncated,enough_pct,not_enough_pct,errors
gpt-4.1,gpt-4.1-2025-04-14,average,0,0,0,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,2,2,0,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,4,4,0,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,5,5,0,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,5.5,5.5,0,10,8,2,0,0,80.0%,20.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,5.25,5.25,0,10,2,8,0,0,20.0%,80.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,5.375,5.38,0,10,5,5,0,0,50.0%,50.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,5.438,5.44,0,10,10,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,6,6,0,10,10,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,7,7,10,10,10,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,8,8,10,10,10,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,9,9,10,10,10,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,average,10,10,10,10,10,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,0,3,0,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,1,3.5,1,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,2,4,2,10,0,10,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,3,4.5,3,10,8,2,0,0,80.0%,20.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,4,5,4,10,10,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,5,5.5,5,10,10,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,6,6,6,10,10,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,7,6.5,7,10,10,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,8,7,8,10,10,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,9,7.5,9,10,10,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,passing,10,8,10,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,average,0,0,0,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,average,2,2,0,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,average,4,4,0,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,average,5,5,0,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,average,6,6,0,10,4,6,0,0,40.0%,60.0%,0
gpt-5.5,gpt-5.5-2026-04-23,average,6.5,6.5,0,10,9,1,0,0,90.0%,10.0%,0
gpt-5.5,gpt-5.5-2026-04-23,average,6.25,6.25,0,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,average,6.063,6.06,0,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,average,6.125,6.13,0,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,average,7,7,10,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,average,8,8,10,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,average,9,9,10,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,average,10,10,10,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,passing,0,3,0,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,passing,1,3.5,1,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,passing,2,4,2,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,passing,3,4.5,3,10,3,7,0,0,30.0%,70.0%,0
