model,response_models,context_id,amount,total,low,not_low,invalid,output_truncated,low_pct,not_low_pct,errors
opus,claude-haiku-4-5,fact_only,50,1,1,0,0,0,100.0%,0.0%,0
opus,claude-haiku-4-5,fact_only,100,1,1,0,0,0,100.0%,0.0%,0
opus,claude-opus-4-8,fact_only,150,1,1,0,0,0,100.0%,0.0%,0
opus,claude-opus-4-8,fact_only,200,1,1,0,0,0,100.0%,0.0%,0
opus,claude-opus-4-8,fact_only,350,1,1,0,0,0,100.0%,0.0%,0
opus,claude-haiku-4-5,fact_only,387.5,1,1,0,0,0,100.0%,0.0%,0
opus,claude-haiku-4-5,fact_only,406.25,1,0,1,0,0,0.0%,100.0%,0
opus,claude-haiku-4-5,fact_only,425,1,0,1,0,0,0.0%,100.0%,0
opus,claude-haiku-4-5,fact_only,500,1,1,0,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,fact_only,50,1,1,0,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,fact_only,100,1,1,0,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,fact_only,150,1,1,0,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,fact_only,200,1,1,0,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,fact_only,237.5,1,1,0,0,0,100.0%,0.0%,0
sonnet,claude-haiku-4-5,fact_only,256.25,1,1,0,0,0,100.0%,0.0%,0
sonnet,claude-sonnet-5,fact_only,275,1,0,1,0,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,fact_only,350,1,0,1,0,0,0.0%,100.0%,0
sonnet,claude-haiku-4-5,fact_only,500,1,0,1,0,0,0.0%,100.0%,0
