model,response_models,context_id,amount,total,low,not_low,invalid,output_truncated,low_pct,not_low_pct,errors
claude-opus-4-8,claude-opus-4-8,fact_only,100,1,1,0,0,0,100.0%,0.0%,0
claude-opus-4-8,claude-haiku-4-5,fact_only,300,1,1,0,0,0,100.0%,0.0%,0
claude-opus-4-8,claude-haiku-4-5,fact_only,400,1,1,0,0,0,100.0%,0.0%,0
claude-opus-4-8,claude-haiku-4-5,fact_only,425,1,0,1,0,0,0.0%,100.0%,0
claude-opus-4-8,claude-haiku-4-5,fact_only,450,1,0,1,0,0,0.0%,100.0%,0
claude-opus-4-8,claude-haiku-4-5,fact_only,500,1,1,0,0,0,100.0%,0.0%,0
claude-sonnet-5,claude-haiku-4-5,fact_only,100,1,1,0,0,0,100.0%,0.0%,0
claude-sonnet-5,claude-haiku-4-5,fact_only,150,1,1,0,0,0,100.0%,0.0%,0
claude-sonnet-5,claude-haiku-4-5,fact_only,175,1,1,0,0,0,100.0%,0.0%,0
claude-sonnet-5,claude-haiku-4-5,fact_only,200,1,0,1,0,0,0.0%,100.0%,0
claude-sonnet-5,claude-haiku-4-5,fact_only,300,1,0,1,0,0,0.0%,100.0%,0
claude-sonnet-5,claude-haiku-4-5,fact_only,500,1,0,1,0,0,0.0%,100.0%,0
