model,response_models,context_id,amount,expected,total,low,not_low,invalid,mismatches,output_truncated,low_pct,not_low_pct,errors
gpt-4.1,gpt-4.1-2025-04-14,fact_only,0,LOW,10,10,0,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,10,LOW,10,10,0,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,100,LOW,10,10,0,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,199,LOW,10,10,0,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,200,LOW,10,10,0,0,0,0,100.0%,0.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,201,NOT_LOW,10,0,10,0,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,300,NOT_LOW,10,0,10,0,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,500,NOT_LOW,10,0,10,0,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,1000,NOT_LOW,10,0,10,0,0,0,0.0%,100.0%,0
gpt-4.1,gpt-4.1-2025-04-14,fact_only,10000,NOT_LOW,10,0,10,0,0,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,0,LOW,10,10,0,0,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,10,LOW,10,10,0,0,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,100,LOW,10,10,0,0,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,199,LOW,10,10,0,0,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,200,LOW,10,10,0,0,0,0,100.0%,0.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,201,NOT_LOW,10,0,10,0,0,0,0.0%,100.0%,0
gpt-4.1-mini,gpt-4.1-mini-2025-04-14,fact_only,300,NOT_LOW,10,0,10,0,0,0,0.0%,100.0%,0
