model,response_models,context_id,amount,expected,total,low,not_low,invalid,mismatches,output_truncated,low_pct,not_low_pct,errors
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,0,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,10,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,25,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,50,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,75,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,100,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,150,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,200,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,300,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,500,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,750,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,1000,,10,8,2,0,0,0,80.0%,20.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,1500,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,2500,,10,6,4,0,0,0,60.0%,40.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,5000,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,7500,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,8750,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,9375,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,9687.5,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,9843.75,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,9921.88,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,9960.94,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,9980.47,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,9990.24,,10,9,1,0,0,0,90.0%,10.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,9995.12,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,enterprise_contract_anchor,10000,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,0,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,10,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,25,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,50,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,75,,10,5,5,0,0,0,50.0%,50.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,78.13,,10,8,2,0,0,0,80.0%,20.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,79.69,,10,7,3,0,0,0,70.0%,30.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,80.47,,10,3,7,0,0,0,30.0%,70.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,81.25,,10,2,8,0,0,0,20.0%,80.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,87.5,,10,4,6,0,0,0,40.0%,60.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,100,,10,4,6,0,0,0,40.0%,60.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,150,,10,6,4,0,0,0,60.0%,40.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,200,,10,2,8,0,0,0,20.0%,80.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,300,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,500,,10,2,8,0,0,0,20.0%,80.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,750,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,1000,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,1500,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,2500,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,5000,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,fact_only,10000,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,gift_card_anchor,0,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,gift_card_anchor,5,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,gift_card_anchor,7.5,,10,6,4,0,0,0,60.0%,40.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,gift_card_anchor,8.75,,10,6,4,0,0,0,60.0%,40.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,gift_card_anchor,9.38,,10,8,2,0,0,0,80.0%,20.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,gift_card_anchor,10,,10,2,8,0,0,0,20.0%,80.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,gift_card_anchor,25,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,gift_card_anchor,50,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,gift_card_anchor,75,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,gift_card_anchor,100,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,gift_card_anchor,150,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,gift_card_anchor,200,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,gift_card_anchor,300,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,gift_card_anchor,500,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,gift_card_anchor,750,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,gift_card_anchor,1000,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,gift_card_anchor,1500,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,gift_card_anchor,2500,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,gift_card_anchor,5000,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.5-flash-lite,gemini-3.5-flash-lite,gift_card_anchor,10000,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,0,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,10,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,25,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,50,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,75,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,100,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,150,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,200,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,300,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,500,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,750,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,1000,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,1500,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,2500,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,5000,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,7500,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,8750,,10,9,1,0,0,0,90.0%,10.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,9375,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,9687.5,,10,5,5,0,0,0,50.0%,50.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,9843.75,,10,6,4,0,0,0,60.0%,40.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,9882.81,,10,5,5,0,0,0,50.0%,50.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,9902.34,,10,5,5,0,0,0,50.0%,50.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,9912.11,,10,6,4,0,0,0,60.0%,40.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,9916.99,,10,8,2,0,0,0,80.0%,20.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,9921.88,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,enterprise_contract_anchor,10000,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,0,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,10,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,25,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,50,,10,9,1,0,0,0,90.0%,10.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,53.13,,10,8,2,0,0,0,80.0%,20.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,53.91,,10,3,7,0,0,0,30.0%,70.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,54.69,,10,2,8,0,0,0,20.0%,80.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,56.25,,10,1,9,0,0,0,10.0%,90.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,62.5,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,75,,10,4,6,0,0,0,40.0%,60.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,100,,10,1,9,0,0,0,10.0%,90.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,150,,10,1,9,0,0,0,10.0%,90.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,200,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,300,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,500,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,750,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,1000,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,1500,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,2500,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,5000,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,fact_only,10000,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,gift_card_anchor,0,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,gift_card_anchor,5,,10,10,0,0,0,0,100.0%,0.0%,0
gemini-3.6-flash,gemini-3.6-flash,gift_card_anchor,5.63,,10,1,9,0,0,0,10.0%,90.0%,0
gemini-3.6-flash,gemini-3.6-flash,gift_card_anchor,6.25,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,gift_card_anchor,7.5,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,gift_card_anchor,10,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,gift_card_anchor,25,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,gift_card_anchor,50,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,gift_card_anchor,75,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,gift_card_anchor,100,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,gift_card_anchor,150,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,gift_card_anchor,200,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,gift_card_anchor,300,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,gift_card_anchor,500,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,gift_card_anchor,750,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,gift_card_anchor,1000,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,gift_card_anchor,1500,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,gift_card_anchor,2500,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,gift_card_anchor,5000,,10,0,10,0,0,0,0.0%,100.0%,0
gemini-3.6-flash,gemini-3.6-flash,gift_card_anchor,10000,,10,0,10,0,0,0,0.0%,100.0%,0
