model,response_models,mode,candidate_value,average_score,passing_count,total,enough,not_enough,invalid,output_truncated,enough_pct,not_enough_pct,errors
gpt-5.5,gpt-5.5-2026-04-23,evidence_count,0,1,0,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,evidence_count,5,5.5,5,10,2,8,0,0,20.0%,80.0%,0
gpt-5.5,gpt-5.5-2026-04-23,evidence_count,6,6.4,6,10,9,1,0,0,90.0%,10.0%,0
gpt-5.5,gpt-5.5-2026-04-23,evidence_count,7,7.3,7,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,evidence_count,10,10,10,10,10,0,0,0,100.0%,0.0%,0
gpt-5.5,gpt-5.5-2026-04-23,quality,1,1,0,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,quality,5.5,3.7,0,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,quality,6.625,4.378,0,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,quality,7.61,4.966,6,10,1,9,0,0,10.0%,90.0%,0
gpt-5.5,gpt-5.5-2026-04-23,quality,7.75,5.05,6,10,7,3,0,0,70.0%,30.0%,0
gpt-5.5,gpt-5.5-2026-04-23,quality,7.188,4.714,6,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,quality,7.469,4.882,6,10,0,10,0,0,0.0%,100.0%,0
gpt-5.5,gpt-5.5-2026-04-23,quality,10,6.4,6,10,8,2,0,0,80.0%,20.0%,0
gpt-5.6,gpt-5.6-sol,evidence_count,0,1,0,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,evidence_count,5,5.5,5,10,4,6,0,0,40.0%,60.0%,0
gpt-5.6,gpt-5.6-sol,evidence_count,6,6.4,6,10,10,0,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,evidence_count,7,7.3,7,10,9,1,0,0,90.0%,10.0%,0
gpt-5.6,gpt-5.6-sol,evidence_count,10,10,10,10,10,0,0,0,100.0%,0.0%,0
gpt-5.6,gpt-5.6-sol,quality,1,1,0,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,quality,5.5,3.7,0,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,quality,6.625,4.378,0,10,0,10,0,0,0.0%,100.0%,0
gpt-5.6,gpt-5.6-sol,quality,7.61,4.966,6,10,2,8,0,0,20.0%,80.0%,0
gpt-5.6,gpt-5.6-sol,quality,7.75,5.05,6,10,6,4,0,0,60.0%,40.0%,0
gpt-5.6,gpt-5.6-sol,quality,7.188,4.714,6,10,2,8,0,0,20.0%,80.0%,0
gpt-5.6,gpt-5.6-sol,quality,7.469,4.882,6,10,3,7,0,0,30.0%,70.0%,0
gpt-5.6,gpt-5.6-sol,quality,10,6.4,6,10,7,3,0,0,70.0%,30.0%,0
